id	nev	osztaly
1	Pék Roland	10/D
2	Illin Zita	11/D
3	Ördögh Dániel	10/D
4	Barta Ildikó	11/D
5	Simony Kata	10/D
6	Csepreg Natália	9/D
7	Nagy Petra	10/D
8	Vörös Dóra	11/D
9	Varga Boldizsár	11/D
10	Szilágyi Réka	11/D
11	Helle Ágnes	10/D
12	Gyömbér Anna	11/D
13	Farkas Dária	10/D
14	Barta Zsuzsanna	11/D
15	Schiss Bence	9/D
16	Szabó Attila	9/D
17	Nagy Dorottya	11/D
18	Lengyel Lilla	11/B
19	Csiszár Nikolett	11/D
20	Kond Lili	10/D
21	Fehér Orsolya	11/D
22	Haskó Fanni	10/D
23	Sós Gábor	11/D
24	Kondász Ferenc	9/D
25	Magyari Tekla	9/D
26	Nagy Enikő	9/D
27	Kónya Barbara	10/D
28	Kollár Zóra	11/D
29	Petrás Lili	10/D
30	Lucza Kata	10/D
31	Szabad Eta	9/D
32	Iványi Gréta	10/D
33	Ráskai Kata	9/D
34	Toldi Viktória	10/D
35	Török Róbert	9/D
36	Oláh Soma	10/D
37	Pintér Tímea	11/D
38	Kasznár Henrietta	9/D
39	Bodó Bence	10/D
40	Ádám Bella	11/D
41	Hegyközi Martin	9/D
42	Kiss Dorina	10/D
43	Háló Ildikó	11/D
44	Ficzak Lili	10/D
45	Juhász Viktor	10/D
46	Dombovári Anna	9/D
47	Marosi Mercédesz	10/D
48	Bozóki Gábor	10/D
49	Szabó Lilla	11/D
50	Csank János	11/D
51	Kárpáti Ádám	11/D
52	Peregi Petra	11/D
53	Sebők Dániel	9/D
54	Balassa Viktor	11/D
55	Kovács Anett	10/D
56	Papp Viola	11/D
57	Lehóczky Nanetta	10/D
58	Gajda Blanka	10/D
59	Buzás Fabióla	11/D
60	Takács Márkó	11/D
61	Varga Mónika	9/D
62	Papp Evelin	9/D
63	Kovács Alexandra	9/D
64	Árpás Soma	11/D
65	Erdélyi Réka	9/D
66	Kahi Zsanett	11/D
67	Betyák Éva	9/D
68	Bozó Noémi	9/D
69	Kerényi Zsuzsanna	11/D
70	István Luca	10/D
71	Rideg Emília	10/D
72	Szurovecz Nóra	10/D
73	Józsa Sára	9/D
74	Thury Lilla	10/D
75	Hajdú Zília	10/D
76	Kertész Bence	9/D
77	Bánfi Bernadett	9/D
78	Ormódi Viktor	10/D
79	Szolnoki Martin	9/D
80	Szabó Vivien	9/D
81	Böröcz Mónika	9/D
82	Gyémánt Péter	9/D
83	Halász Anett	9/D
84	Lengyel Dóra	9/D
85	Czirok Anna	9/D
86	Kovács Norbert	10/D
87	Borbás Géza	9/D
88	Elek Miklós	11/D
89	Nagy Renáta	9/D
90	Ádám Izolda	10/D
91	Kis Beáta	10/D
92	Bóna Zsuzsanna	11/D
93	Kertész András	11/D
94	Kimler Nikolett	9/D
95	Molnár Ádám	9/D
96	Bodza Tamás	11/C
97	Fülöp Blanka	10/D
98	Tombácz Miklós	11/B
99	Kenderesi Máté	10/D
100	Alföldi Annamária	10/D
101	Mihalcsik Dániel	9/D
102	Farkas Anett	9/D
103	Takács Rebeka	11/B
104	Lajkó Réka	11/C
105	Guba Anna	11/B
106	Molnár Márton	11/A
107	Balogh Lili	11/A
108	Selmeci Dóra	11/C
109	Dancs György	11/B
110	Mészáros Emese	11/B
111	Vásárhelyi Tamás	11/A
112	Gyuris Zsófia	11/B
113	Kis Antal	11/A
114	Karácsonyi Zsófia	11/C
115	Hódi Lőrinc	11/B
116	Szántó Johanna	11/A
117	Balog Kristóf	11/A
118	Firge Nóra	11/B
119	Májer Orsolya	11/C
120	Papp Éva	11/C
121	Nagy Fanni	11/A
122	Dávid Bettina	11/B
123	Csernyik Sára	11/C
124	Ludányi Flóra	11/A
125	Kovács László	11/B
126	Deák István	11/C
127	Sisák Andrea	11/B
128	Erdélyi Krisztina	11/A
129	Schulcz Daniella	11/B
130	Engi Zsuzsanna	11/B
131	Koltay Emese	11/A
132	Vári Lívia	11/A
133	Szamosközi Gergely	11/B
134	Somogyi Márk	11/A
135	Bakai József	11/C
136	Gábor Katalin	11/C
137	Jónás Ágota	11/C
138	Barta Tamás	11/C
139	Juhász Ákos	11/C
140	Szántó Kornélia	11/C
141	Petrik Zsófia	11/B
142	Durczás Réka	11/C
143	Dancs Richárd	11/C
144	Arany Péter	11/C
145	Hart Alíz	11/B
146	Mészáros Renáta	11/C
147	Fröhlich Zsombor	11/C
148	Biró Nóra	11/C
149	Peták Helga	11/A
150	Kerti Borbála	11/B
151	Szántó Ákos	11/C
152	Nyári Péter	11/C
153	Jak Balázs	11/C
154	Sikk Dániel	11/C
155	Mészáros Flóra	11/A
156	Szerencsés Zsófia	11/C
157	Pesti Richárd	11/C
158	Bertók Dániel	11/A
159	Tomka Máté	11/A
160	Végh Vanessa	11/A
161	Vass András	11/B
162	Forgó Annamária	11/A
163	Skót Tamara	11/A
164	Bozó Dániel	11/A
165	Korom Viola	11/B
166	Kovács Dominika	11/A
167	Farkas Máté	11/C
168	Vezsi Attila	11/C
169	Zsikai Krisztina	11/B
170	Neuer Benedek	11/B
171	Nagy Máté	11/B
172	Farkas Stella	11/A
173	Kristóf Réka	11/A
174	Bodnár Kinga	11/A
175	Patonai Dóra	11/C
176	Font Bernadett	11/A
177	Boldizsár Tas	11/B
178	Szabó Dorottya	11/C
179	Benkő Tünde	11/C
180	Zsolczai Balázs	11/A
181	Szepes Edit	10/A
182	Tóth Luca	11/B
183	Kiss Nikolett	11/B
184	Mészáros Zsuzsanna	11/A
185	Janka Csanád	11/A
186	Csete Boglárka	11/B
187	Rabi Szimonetta	11/B
188	Fődi Noémi	11/B
189	Gyulai Noémi	11/B
190	Fodor Viktória	11/A
191	Földesi Tamás	11/B
192	Kovács Bence	11/C
193	Siklósi Jolán	11/B
194	Mészáros Réka	11/B
195	Rácz Elza	11/A
196	Horváth Viktória	11/A
197	Lehoczky Máté	11/B
198	Kovács Kata	11/B
199	Bozsó Zsófia	11/A
200	Jójárt Nóra	11/C
201	Marosi Zsanett	11/C
202	Bajus Fruzsina	11/C
203	Ördög Lili	11/B
204	Alsó Dóra	11/B
205	Honti Viktória	11/C
206	Matuska Zita	11/C
207	Bóka Nátán	11/B
208	Seprenyi Lajos	11/A
209	Derék Ágnes	11/A
210	Pálfi Henrietta	11/A
211	Urbán Csenge	11/B
212	Erdélyi Kristóf	9/D
213	Boros János	10/C
214	Motyovszki Márk	10/C
215	Márton Hunor	10/C
216	Belső Regina	10/A
217	Veres Zsófia	10/B
218	Mari Éva	10/C
219	Kovalcsik Evelin	10/B
220	Tari Zsófia	10/C
221	Mészáros Réka Flóra	10/C
222	Igaz Dóra	10/B
223	Molnár Zsombor	10/C
224	Váczi Levente	10/B
225	Farkas Sára	10/C
226	Szalai Máté	10/B
227	Varga Kristóf	10/B
228	Deme Krisztina	10/C
229	Jabb Anna	10/B
230	Ábrahám Katalin	10/A
231	Dani Georgina	10/A
232	Molnár Enikő	10/A
233	Árva Ákos	10/A
234	Scmok Georgina	10/A
235	Nyíl Zsófia	10/A
236	Demke Lili	10/C
237	Sári Zsófia	10/C
238	Seres Lilla	10/A
239	Vass Flóra	10/A
240	Kocsis Szabrina	10/B
241	Macsák Nóra	10/C
242	Sipos Erik	10/C
243	Gyebrovszki Csilla	10/A
244	Mészáros Kata	10/A
245	Sáringer Lilla	10/C
246	Kiss Dóra	10/A
247	Tóth Barbara	10/A
248	Keleti Hanna	10/C
249	Lehotai Anna	10/C
250	Sári Péter	10/A
251	Péter Gábor	10/C
252	Csala Ádám	10/A
253	Nyilas Ákos	10/A
254	Meleg Dániel	10/C
255	Kardos Éva	10/C
256	Király Petra	10/B
257	Werth Eszter	10/C
258	Hideg Lili	10/C
259	Bodor Borbála	10/C
260	Kallai Kata	10/C
261	Török Anett	10/C
262	Pusztai Bálint	10/A
263	Kispál Péter	10/A
264	Hegedűs Zsófia	10/B
265	Tamáska Lilla	10/A
266	Zsikó Veronika	10/A
267	Kampós Eszter	10/B
268	Kincses Noémi	10/B
269	Csonka József	10/A
270	Grosz Kata	10/B
271	Hóka Ágnes	10/B
272	Rozmár Eszter	10/B
273	Kasza Bence	10/A
274	Csorba Luca	10/C
275	Papp Sára	10/B
276	Ilke Adél	10/A
277	Harkály Klaudia	10/B
278	Zombori Réka	10/B
279	Hegedű Fanni	10/C
280	Balogh Viola	10/B
281	Papp Laura	10/B
282	Fekete Réka	10/B
283	Bárány Katalin	10/A
284	Vörös Lívia	10/A
285	Illés László	10/B
286	Varga Melitta	10/A
287	Fehér Krisztina	10/A
288	Szolga Ádám	10/A
289	Bálint Júlia	10/B
290	Tamás Dóra	10/B
291	Tóth Veronika	10/C
292	Kostyál Enikő	10/B
293	Menge Blanka	10/C
294	Brávik Lili	10/A
295	Gesztes Beáta	10/A
296	Lévai Tamás	10/A
297	Farkas Ágota	10/C
298	Pammer Petra	10/A
299	Juhász Anna	10/B
300	Vincze Annabella	10/A
301	Balogh Valentina	10/C
302	Tóth László	10/A
303	Püski Kitti	10/B
304	Kotroczó Barnabás	10/A
305	Boldog Dániel	10/C
306	Gárgyán Patrik	10/C
307	Baka Ágota	10/B
308	Pataki Gábor	10/B
309	Almási Rebeka	10/B
310	Kiss Márton	10/A
311	Farkas Barnabás	10/C
312	Iván Gedeon	10/B
313	Jánosi Zsófia	10/B
314	Nagy Zsombor	10/C
315	Silver Zoltán	10/C
316	Bálint Leticia	10/B
317	Réti Dániel	10/A
318	Hódi Emese	10/B
319	Csőke Alexandra	10/A
320	Lengyel Trisztán	9/B
321	Kiss Brigitta	9/A
322	Réti Döme	9/B
323	Szabó Noémi	9/B
324	Hajnal Fanni	9/C
325	Bitó Bálint	9/B
326	Heller Szabolcs	9/A
327	Balogh Nikolett	9/A
328	Erk Fruzsina	9/C
329	Varga Szilvia	9/C
330	Bajnai Krisztián	9/A
331	Nyári Barnabás	9/A
332	Szepesi Vivien	9/A
333	Patyi Tamás	9/C
334	Paja Tamás	9/C
335	Kincses Kristóf	9/B
336	Vass Anna	9/A
337	Tésnyei Tamás	9/B
338	Árpádfalvi Enikő	9/B
339	Tóth Ákos	9/C
340	Kertész Szilvia	9/B
341	Meller Gabriella	9/A
342	Csuka Beáta	9/A
343	Hegedűs Zénó	9/A
344	Kovács Szilárd	9/C
345	Szovics Dóra	9/C
346	Sümegi Zsanett	9/A
347	Lukács Tamás	9/C
348	Gárgyán Rita	9/A
349	Szirovicza Bernadett	9/A
350	Halk János	9/B
351	Borda Tibor	9/B
352	Hal Bettina	9/C
353	Kun Dániel	9/C
354	Pless Gergő	9/C
355	Moldován Tamás	9/A
356	Pop Ramóna	9/C
357	Horváth Lili	9/C
358	Móricz Rea	9/A
359	Jenei Dániel	9/A
360	Vlocskó Gábor	9/C
361	Szűcs Péter	9/B
362	Dömötör Enikő	9/C
363	Pásztor Nándor	9/C
364	Elek Vivien	9/C
